Name,Score,Characters,Team,Total Played,Win %,Last Match
NPV,3705,,,23,47,8/1/2017
Slyben,3681,,,135,39,10/5/2017
RyanGG,3673,Marth,,13,38,8/11/2017
Jeo,3672,Fox,Grand Rapids,112,37,10/13/2017
Ace Turner,3662,Fox,,91,45,10/6/2017
Sethsational,3655,,,13,53,9/28/2017
Dissaplin,3647,,,11,63,7/6/2017
Craetzer,3640,,,8,50,3/15/2017
scorp,3633,Falco,,4,50,6/28/2017
Hack,3609,,,42,45,5/20/2017
HamirTime,3594,Captain Falcon,,28,50,6/28/2017
Cobab,3589,,,13,46,4/22/2017
Big Brother,3587,Luigi,,35,42,10/6/2017
Soldier Boy,3582,,,5,60,2/15/2017
MasterJRoll,3582,,,8,37,8/5/2017
BreachiN,3577,Peach,,41,41,9/4/2017
DMR,3576,,Marth,92,39,10/12/2017
Artifical Flavor,3563,Luigi,,25,52,10/6/2017
3,3560,Sheik,,13,46,5/20/2017
Rue,3551,,,21,42,10/11/2017
Jimmypop23,3550,,,5,60,10/7/2017
The Box in the Striped Pajamas,3547,,,4,50,7/24/2017
Gamma,3545,,,17,47,8/9/2017
Echo97,3542,,,6,66,4/2/2017
dmg,3539,,,5,100,5/31/2017
Pihrana Plant,3529,,,5,60,6/6/2017
goose,3529,,,10,60,9/23/2017
Captain Kush,3526,Marth,,69,42,10/6/2017
Squeegee,3525,Luigi,,40,47,10/6/2017
Maclo4,3518,Marth,,13,46,6/2/2017
Hanger 18,3515,Marth,,5,60,9/21/2017
LaRosa,3505,,,6,66,10/7/2017
Jampion,3503,Pikachu,,15,60,9/30/2017
Door,3501,,,30,43,5/17/2017
PooTang,3495,,,14,57,6/15/2017
Tids,3479,,,30,50,8/10/2017
Stork,3478,Peach,,37,40,10/6/2017
Cam (Odyssey Revival),3473,,,15,53,4/18/2017
Echo,3471,,,17,41,10/6/2017
Turki,3459,,,4,50,10/13/2017
Fija,3441,Falco,,18,44,9/5/2017
h2,3434,Marth,,9,44,4/22/2017
Asmoney,3423,,,27,29,9/9/2017
Alfonso,3396,,,27,48,8/9/2017
Dindy,3393,Sheik,,52,36,8/5/2017
Neil,3379,,,16,50,10/6/2017
TrialColt,3372,Falco,,39,43,9/27/2017
Bad Horse,3367,,,16,56,5/31/2017
Shellz,3361,,,32,31,10/6/2017
~20%,3354,,,5,60,10/6/2017
Faila,3350,,,27,44,10/13/2017
Storm,3344,,,9,66,8/14/2017
Hollywood,3343,Sheik,,34,47,9/7/2017
dustgod,3331,,,9,55,10/6/2017
Lenpo,3324,Samus,,74,36,10/13/2017
josh (Wolves Den),3310,,,6,66,9/26/2017
john (Umeme),3302,,,19,52,8/4/2017
YungVersacePaperclip,3299,,,5,60,6/29/2017
Inu,3288,Fox,,17,52,10/6/2017
Xam,3282,Captain Falcon; Fox,,22,50,5/20/2017
Mo,3279,,,39,33,10/13/2017
Rilla Roo,3275,Pikachu,<< sandbagging >>,18,44,9/29/2017
Cornelius,3274,Sheik,,32,40,6/28/2017
Ellipsis,3270,,,36,47,6/9/2017
Hot Neighbor,3252,,,15,53,2/18/2017
Grab some eyes,3251,,,28,42,7/31/2017
Skraaa,3243,Sheik,,14,42,9/22/2017
Rh1thmz,3241,,,5,60,3/20/2017
NiiNii,3239,Fox,,19,47,5/3/2017
K-C,3236,Fox,Toledo,21,42,10/6/2017
yoog,3234,,,11,45,10/13/2017
TopTierRamen,3226,Falco,,47,40,5/17/2017
Cruton,3224,Marth,,88,28,8/25/2017
Drizzy,3221,,,24,54,9/8/2017
Stones,3221,Captain Falcon,,14,57,6/21/2017
Lotus,3220,,,7,57,3/11/2017
Kurt Koopa,3218,,,9,66,5/27/2017
Sainz,3214,,,5,80,4/22/2017
Amir,3191,,,20,45,4/22/2017
CEEOLM,3190,,,17,52,10/6/2017
SammyG,3187,Falco,,54,38,7/5/2017
Daniel (VR),3185,,,22,45,10/12/2017
Charlie (Kalamazoo),3174,,,6,50,8/1/2017
OldmanKarp,3173,Jigglypuff,,115,39,10/6/2017
HairyDuck,3173,Young Link,,47,38,10/11/2017
Spitz,3161,,,11,45,8/1/2017
Zephyr,3157,,,23,39,9/27/2017
WoK,3149,Ganondorf,,29,37,9/27/2017
E-N,3127,Sheik,Toledo,88,34,10/11/2017
Calvin (Geek Group),3127,,,5,60,8/25/2017
Wild Voose,3112,Ice Climbers,,17,41,8/4/2017
Zol,3096,,,35,31,8/24/2017
Inka dinka Doo,3089,,,37,37,8/18/2017
Cela,3070,Mr. Game & Watch,,9,55,9/23/2017
Wreckening,3070,,,30,43,9/29/2017
Pataflafla,3067,,,6,50,4/22/2017
enhanced,3067,,,10,60,10/6/2017
HighDef,3059,Samus,Lansing,66,25,10/12/2017
Spooky,3054,,,13,53,5/17/2017
YVPC,3036,Marth,,22,45,10/12/2017
Nerp,3034,,,22,36,10/15/2017
Cartoffel,3023,,,59,38,10/13/2017
Raqqi,3017,,,4,50,5/27/2017
Ranier,3013,,,5,60,5/10/2017
Shanahan,3006,Peach,,12,50,4/22/2017
Vorporal,3004,Ice Climbers,Lansing,36,41,10/5/2017
Necro Joe,2985,Falco,Kalamazoo,24,25,10/6/2017
Wizard of Kaz,2980,,,5,60,9/27/2017
S P A C E M A N,2978,,,60,26,10/13/2017
Tozer,2978,,,33,36,3/22/2017
Lo1ts,2972,Sheik,Toledo,9,55,4/22/2017
Dusty,2972,,,56,30,9/21/2017
Tits,2970,Samus,,43,32,9/28/2017
Woven Web,2965,,,4,50,8/3/2017
